epoch,Train Losses,Val Losses,Val Accuracies,Train Accuracies
0,1.8364484320921057,1.4647233060201008,47.92,31.654117647058822
1,1.6260655373517205,1.3329780203501382,51.72,39.13647058823529
2,1.5464041611390955,1.2741497438430787,53.86666666666667,42.423529411764704
3,1.499616559006186,1.1974016088485717,57.44,44.501176470588234
4,1.4523837692485135,1.1465089551607768,59.026666666666664,46.54588235294118
5,1.4178055904388427,1.0867313899993896,60.973333333333336,48.138823529411766
6,1.3805236658881692,1.0948502273241678,61.93333333333333,49.694117647058825
7,1.3523002692671384,1.0535507194201152,63.093333333333334,50.72470588235294
8,1.3291998596976786,1.0071966425577799,63.48,51.76941176470588
9,1.3064963494132547,1.0083865082740784,65.92,52.616470588235295
