epoch,Train Losses,Val Losses,Val Accuracies,Train Accuracies
0,1.6123544363134048,1.2879939229011537,54.0,41.42823529411765
1,1.364940079790003,1.1193915272394817,59.48,50.55764705882353
2,1.2601739185557645,1.0578301917394002,62.21333333333333,54.60470588235294
3,1.1983089330673218,0.9734716730117798,65.66666666666667,57.22352941176471
4,1.1500923213734346,0.9639029281934103,65.66666666666667,59.29882352941176
5,1.1189642318781685,0.9180459254264831,67.05333333333333,60.08941176470588
6,1.0876590080822215,0.9110218851407369,68.25333333333333,61.40705882352941
7,1.0610815503737505,0.9430762083689371,67.0,62.67764705882353
8,1.03407339108411,0.8418578150749206,69.85333333333334,63.498823529411766
9,1.0182771740632899,0.828910878721873,70.69333333333333,64.24470588235295
