epoch,Train Losses,Val Losses,Val Accuracies,Train Accuracies
0,1.8408913462246166,1.4514421116511027,48.44,31.569411764705883
1,1.6312958621754365,1.3506755922953289,50.13333333333333,38.69882352941176
2,1.5517333518981933,1.255919790395101,54.666666666666664,42.40470588235294
3,1.5015658867667703,1.2160857816060384,56.76,44.60941176470588
4,1.4537241895787856,1.1597284672101338,57.64,46.40470588235294
5,1.4290197019016042,1.1006083026885987,60.12,47.52470588235294
6,1.387364296537287,1.0980213247617086,61.48,49.23058823529412
7,1.36014775130328,1.053715800412496,63.10666666666667,50.34823529411765
8,1.3393640164319207,1.024719784005483,63.22666666666667,51.01647058823529
9,1.3187666264253504,1.0235165753364563,63.85333333333333,51.898823529411764
